all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,178192,302960,673,947,617,127962


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is really best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you tonight ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you best ."

original sentence,try for a large body of water if you are confident your companion can save you from drowning .
wrong word,from 17
mutation sentence,try for a large body of water if you are confident your companion can save both you from drowning .
mutation sentence,try for a large body of water if you are confident your companion can save only you from drowning .
mutation sentence,try for a large body of water if you are confident your companion can save all you from drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you from drowning ) .

original sentence,"For example , list “ take the dog for a walk by 12:30 ” rather than simply “ walk the dog . ”"
wrong word,than 16
mutation sentence,"For example , list “ take the dog for a walk by 12:30 ” rather than simply “ walk the dog . ) ”"

original sentence,"Add the quinoa and salt to the saucepan , stirring until completely incorporated ."
wrong word,until 11
mutation sentence,"Add the quinoa and salt to the saucepan , stirring until completely oil incorporated ."



"pos from 从句连词 to 副词
"
original sentence,How The Onion writes an issue
wrong word,How 1
mutation sentence,How The Daily Onion writes an issue
mutation sentence,How The Green Onion writes an issue
mutation sentence,How The Purple Onion writes an issue
mutation sentence,How The Red Onion writes an issue
mutation sentence,How The Yellow Onion writes an issue
mutation sentence,How The Blue Onion writes an issue
mutation sentence,How The Brown Onion writes an issue
mutation sentence,How The White Onion writes an issue
mutation sentence,How The Boston Onion writes an issue
mutation sentence,How The Pink Onion writes an issue
mutation sentence,How The Onion first writes an issue

original sentence,How to Annoy People in Elevators
wrong word,How 1
mutation sentence,How to Not Annoy People in Elevators
mutation sentence,How to not Annoy People in Elevators

original sentence,"For example , if you invented the word ' China ' as ' Khinssa ' , ' Drink ' as ' Bever ' , and the word ' Accident ' as ' Casnondelibreaten ' , why not make the word ' tea ' as ' Khincasnonbever ' or ' Bevernondelibreatekin ' or even ' Khinssacasnondelibreatenibever ' !"
wrong word,why 36
mutation sentence,"For example , if you invented the word ' China ' as ' Khinssa ' , ' Drink ' as ' Bever ' , and the word ' Accident ' as ' Casnondelibreaten ' , why not make the word ' tea ' as ' Khincasnonbever ' or ' Bevernondelibreatekin ' or even ' Khinssacasnondelibreatenibever ? ' !"
mutation sentence,"For example , if you invented the word ' China ' as ' Khinssa ' , ' Drink ' as ' Bever ' , and the word ' Accident ' as ' Casnondelibreaten ' , why not make the word ' tea ' as ' Khincasnonbever ' or ' Bevernondelibreatekin ' or even ' Khinssacasnondelibreatenibever ' ? !"

original sentence,How to Pack Your Possessions When Moving
wrong word,How 1
mutation sentence,How to Not Pack Your Possessions When Moving

original sentence,How to Cope With a Double Parachute Failure
wrong word,How 1
mutation sentence,How to Not Cope With a Double Parachute Failure
mutation sentence,How to Really Cope With a Double Parachute Failure

original sentence,this is why hooking your arms through the harness is essential .
wrong word,why 3
mutation sentence,this is why hooking your arms together through the harness is essential .

original sentence,How to Play a Real-Life Game of Quidditch
wrong word,How 1
mutation sentence,How to Not Play a Real-Life Game of Quidditch



"pos from 从句连词 to 助词
"


"pos from 从句连词 to 并列连词
"


"pos from 从句连词 to 定冠
"


"pos from 从句连词 to 感叹
"


"pos from 从句连词 to 名词
"


"pos from 从句连词 to 数字
"


"pos from 从句连词 to 功能
"


"pos from 从句连词 to 代词
"
original sentence,Frank Rack got in touch after they returned from Antarctica in hopes that I could help with an identification on the anemone .
wrong word,that 13
mutation sentence,Frank Rack got in touch after they returned from Antarctica in hopes that I myself could help with an identification on the anemone .

original sentence,The team was n't so far ahead that we knew .
wrong word,that 8
mutation sentence,The team was n't so far out ahead that we knew .
mutation sentence,The team was n't so far yet ahead that we knew .
mutation sentence,The team was n't so far straight ahead that we knew .

original sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
wrong word,that 5
mutation sentence,"Despite all the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the now common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common local perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common popular perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common urban perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common national perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common regional perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common cultural perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland now is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is primarily an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is mostly an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is mainly an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is predominantly an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is largely an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is only an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is essentially an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is just an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is merely an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is an industrial town proper , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is an industrial town , just beyond are the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is an industrial town , just beyond is the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , only a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised if you ca n't see the other side , i.e. , Canada ) ."

original sentence,"They compensate for this by creating the impression that they have a lot of friends - they have a ' quantity , not quality ' mentality ."
wrong word,that 9
mutation sentence,"They compensate for this by creating the impression that they also have a lot of friends - they have a ' quantity , not quality ' mentality ."
mutation sentence,"They compensate for this by creating the impression that they do have a lot of friends - they have a ' quantity , not quality ' mentality ."
mutation sentence,"They compensate for this by creating the impression that they have quite a lot of friends - they have a ' quantity , not quality ' mentality ."
mutation sentence,"They compensate for this by creating the impression that they have a lot of friends around - they have a ' quantity , not quality ' mentality ."

original sentence,There is a minuscule chance that your impact will result in non-life-threatening injuries ;
wrong word,that 6
mutation sentence,There is a minuscule theoretical chance that your impact will result in non-life-threatening injuries ;



"pos from 从句连词 to 特指名词
"


"pos from 从句连词 to 标点
"


"pos from 从句连词 to 从句连词
"


"pos from 从句连词 to 符号
"


"pos from 从句连词 to 动词
"


"pos from 从句连词 to 其他
"


"pos from 符号 to 形容
"


"pos from 符号 to 介词
"


"pos from 符号 to 副词
"


"pos from 符号 to 助词
"


"pos from 符号 to 并列连词
"


"pos from 符号 to 定冠
"


"pos from 符号 to 感叹
"


"pos from 符号 to 名词
"


"pos from 符号 to 数字
"


"pos from 符号 to 功能
"


"pos from 符号 to 代词
"


"pos from 符号 to 特指名词
"


"pos from 符号 to 标点
"


"pos from 符号 to 从句连词
"


"pos from 符号 to 符号
"


"pos from 符号 to 动词
"


"pos from 符号 to 其他
"


"pos from 动词 to 形容
"
original sentence,"The magician behind the counter was wise enough not to sell it to me , but instead sold me two books which I still own today - "" Scarne on Card Tricks "" and "" Scarne on Magic Tricks "" ."
wrong word,own 25
mutation sentence,"The magician behind the counter was wise enough not to sell it to me , but instead sold me two books which are I still own today - "" Scarne on Card Tricks "" and "" Scarne on Magic Tricks "" ."

original sentence,"There are also many nail salons , frozen yogurt shops , coffee shops and gas stations ."
wrong word,frozen 8
mutation sentence,"There are also many nail salons too , frozen yogurt shops , coffee shops and gas stations ."



"pos from 动词 to 介词
"


"pos from 动词 to 副词
"


"pos from 动词 to 助词
"
original sentence,And then when you do it in an asymptotic way is like you do n't look at the small details .
wrong word,is 11
mutation sentence,And then when you do it in an asymptotic way is like if you do n't look at the small details .

original sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a place to be again ."
wrong word,be 23
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making this it a place to be again ."
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a fashionable place to be again ."
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a beautiful place to be again ."
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a place to be again too ."
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a place to be again quickly ."



"pos from 动词 to 并列连词
"


"pos from 动词 to 定冠
"


"pos from 动词 to 感叹
"


"pos from 动词 to 名词
"
original sentence,The sunlight turned her hair to fire and Carroll found it difficult to look directly at her .
wrong word,fire 7
mutation sentence,The sunlight turned her hair back to fire and Carroll found it difficult to look directly at her .

original sentence,"The blog aims to help address "" a gap between scientists and ' the general public ' . """
wrong word,address 6
mutation sentence,"The blog aims to be help address "" a gap between scientists and ' the general public ' . """

original sentence,"She also claims that in 1997 and 1998 , she was tasked with removal of asbestos from the ship ."
wrong word,claims 3
mutation sentence,"She had also claims that in 1997 and 1998 , she was tasked with removal of asbestos from the ship ."

original sentence,Greek court has ruled that worshippers of the ancient Greek religion may now formally associate and worship at archeological sites .
wrong word,worship 17
mutation sentence,Greek court has ruled that worshippers of the ancient Greek religion may now formally be associate and worship at archeological sites .

original sentence,"Old and new meet in Fort Lee , as the Good Shepherd Episcopalian Church is dwarfed by a residential highrise immediately behind it"
wrong word,meet 4
mutation sentence,"Old and new meet in Historic Fort Lee , as the Good Shepherd Episcopalian Church is dwarfed by a residential highrise immediately behind it"

original sentence,Living in stimulating environments with new objects may also help .
wrong word,help 10
mutation sentence,Living in stimulating environments with new objects may be also help .

original sentence,"If desired , the snitch is able to do whatever he or she wants to avoid capture ."
wrong word,capture 17
mutation sentence,"If desired , the snitch is able to do whatever he or she wants just to avoid capture ."



"pos from 动词 to 数字
"


"pos from 动词 to 功能
"


"pos from 动词 to 代词
"


"pos from 动词 to 特指名词
"


"pos from 动词 to 标点
"


"pos from 动词 to 从句连词
"


"pos from 动词 to 符号
"


"pos from 动词 to 动词
"


"pos from 动词 to 其他
"


"pos from 其他 to 形容
"


"pos from 其他 to 介词
"


"pos from 其他 to 副词
"


"pos from 其他 to 助词
"


"pos from 其他 to 并列连词
"


"pos from 其他 to 定冠
"


"pos from 其他 to 感叹
"


"pos from 其他 to 名词
"
original sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or "" tmesis "" ."
wrong word,tmesis 17
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico ) "" or "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or simply "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or from "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or just "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or Latin "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or as "" tmesis "" ."

original sentence,He graduated summa cum laude from the University of California in 1936 .
wrong word,laude 5
mutation sentence,He was graduated summa cum laude from the University of California in 1936 .
mutation sentence,He had graduated summa cum laude from the University of California in 1936 .
mutation sentence,He graduated with summa cum laude from the University of California in 1936 .
mutation sentence,He graduated in summa cum laude from the University of California in 1936 .
mutation sentence,He graduated as summa cum laude from the University of California in 1936 .
mutation sentence,He graduated from summa cum laude from the University of California in 1936 .
mutation sentence,He graduated law summa cum laude from the University of California in 1936 .

original sentence,You can make the word ' pen ' as ' penn ' or even ' pen ' .
wrong word,penn 11
mutation sentence,You can make the word ' pen ' as in ' penn ' or even ' pen ' .



"pos from 其他 to 数字
"


"pos from 其他 to 功能
"


"pos from 其他 to 代词
"


"pos from 其他 to 特指名词
"
original sentence,"The team used Formica fusca , an ant species that can form thousand-strong colonies ."
wrong word,Formica 4
mutation sentence,"The team used Formica fusca , an aggressive ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an exotic ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an endangered ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an unusual ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an African ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an Australian ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an ant tree species that can form thousand-strong colonies ."

original sentence,"In the wild , Formica fusca can encounter similar chemicals in aphids and dead ants ."
wrong word,Formica 5
mutation sentence,"In the wild , Formica fusca can still encounter similar chemicals in aphids and dead ants ."
mutation sentence,"In the wild , Formica fusca can encounter some similar chemicals in aphids and dead ants ."



"pos from 其他 to 标点
"


"pos from 其他 to 从句连词
"


"pos from 其他 to 符号
"


"pos from 其他 to 动词
"


"pos from 其他 to 其他
"
