all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,125764,215951,1069,1298,853,97641


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"

original sentence,"This pilot project primarily investigated how participants visually explore artworks and provides new insights into the potential eye-tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour ."
wrong word,of 41
mutation sentence,"This pilot project primarily investigated how participants visually explore artworks and provides new insights into the potential eye-tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of further studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour ."
mutation sentence,"This pilot project primarily investigated how participants visually explore artworks and provides new insights into the potential eye-tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of better studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour ."

original sentence,"Measuring the composition and dynamics of a scientific workforce , particularly in a rapidly expanding field like computer science , is a crucial first step toward understanding how scholarly research is conducted and how it might be enhanced ."
wrong word,toward 26
mutation sentence,"Measuring the composition and dynamics of a scientific workforce , particularly in a rapidly expanding field like computer science , is a crucial first step toward better understanding how scholarly research is conducted and how it might be enhanced ."

original sentence,"Once again , this phenomenon has the effect of making peer-reviewed journals appear less legitimate ."
wrong word,of 9
mutation sentence,"Once again , this phenomenon has the effect of further making peer-reviewed journals appear less legitimate ."

original sentence,The application allows visualization of the player 's performance and offers the possibility of monitoring by teachers .
wrong word,of 14
mutation sentence,The application allows visualization of the player 's performance and offers the possibility of ongoing monitoring by teachers .

original sentence,"We expected that the use of a training session and then the format of the question would guide participants towards evaluating pragmatic felicity over providing truth value judgments , and would result in adult-like interpretations ."
wrong word,towards 20
mutation sentence,"We expected that the use of a training session and then the format of the question would guide participants towards better evaluating pragmatic felicity over providing truth value judgments , and would result in adult-like interpretations ."
mutation sentence,"We expected that the use of a training session and then the format of the question would guide participants towards more evaluating pragmatic felicity over providing truth value judgments , and would result in adult-like interpretations ."

original sentence,Differences in limb orientation can produce substantial differences in loading regimes on limb bones .
wrong word,in 9
mutation sentence,Differences in limb orientation can produce substantial differences in joint loading regimes on limb bones .
mutation sentence,Differences in limb orientation can produce substantial differences in mechanical loading regimes on limb bones .
mutation sentence,Differences in limb orientation can produce substantial differences in relative loading regimes on limb bones .

original sentence,"As a first step in defining the “ transmedia fan ” , the current project undertakes a comparative discourse analysis of online conversations of Game of Thrones fans ."
wrong word,in 5
mutation sentence,"As a first step in further defining the “ transmedia fan ” , the current project undertakes a comparative discourse analysis of online conversations of Game of Thrones fans ."

original sentence,"Hadid studied mathematics at the American University of Beirut before moving , in 1972 , to London to study at the Architectural Association School of Architecture ."
wrong word,before 10
mutation sentence,"Hadid studied mathematics at the American University of Beirut before later moving , in 1972 , to London to study at the Architectural Association School of Architecture ."

original sentence,"She , her mother , and younger sister made ends meet by doing needlework , washing , and other jobs ."
wrong word,by 12
mutation sentence,"She , her mother , and younger sister made ends meet by daily doing needlework , washing , and other jobs ."

original sentence,"As her father and one of her brothers had before her , she had caught tuberculosis ."
wrong word,As 1
mutation sentence,"As her father and later one of her brothers had before her , she had caught tuberculosis ."

original sentence,"During this period , he seems to have found time for studying and writing ."
wrong word,for 11
mutation sentence,"During this period , he seems to have found time for more studying and writing ."
mutation sentence,"During this period , he seems to have found time for further studying and writing ."
mutation sentence,"During this period , he seems to have found time for much studying and writing ."
mutation sentence,"During this period , he seems to have found time for extensive studying and writing ."
mutation sentence,"During this period , he seems to have found time for studying and creative writing ."

original sentence,"After graduating he attended Camp Wycliffe , where Bible translation theory was taught ."
wrong word,After 1
mutation sentence,"After first graduating he attended Camp Wycliffe , where Bible translation theory was taught ."

original sentence,"Although he had originally planned to attend the University of Texas after graduating from high school in 2000 , Jared decided to move Los Angeles , California instead to pursue an acting career . [ 1 ]"
wrong word,after 12
mutation sentence,"Although he had originally planned to attend the University of Texas after first graduating from high school in 2000 , Jared decided to move Los Angeles , California instead to pursue an acting career . [ 1 ]"

original sentence,"Unfortunately for the would-be leader , Pachomius recovered , and upon hearing of Theodorus ’ decision , exiled the ambitious young man ."
wrong word,upon 11
mutation sentence,"Unfortunately for the would-be leader , Pachomius recovered , and upon first hearing of Theodorus ’ decision , exiled the ambitious young man ."
mutation sentence,"Unfortunately for the would-be leader , Pachomius recovered , and upon later hearing of Theodorus ’ decision , exiled the ambitious young man ."

original sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
wrong word,for 12
mutation sentence,I hate the half moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I really am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I truly am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I especially am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I also am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I always am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I particularly am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I actually am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I even am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for sometimes when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when outside it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it truly shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines brightly on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on so certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on even certain scenes familiar and loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and deeply loved it sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it also sometimes makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes just makes them unfamiliar and hideous .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous again .
mutation sentence,I hate the moon - I am afraid of it - for when it shines on certain scenes familiar and loved it sometimes makes them unfamiliar and hideous too .

original sentence,I wondered how long it would be before it found reinforcements .
wrong word,before 8
mutation sentence,I wondered how long it would be before maybe it found reinforcements .

original sentence,I did n't understand what she 'd said except that they were visiting .
wrong word,except 9
mutation sentence,I did n't understand what she 'd said except that maybe they were visiting .
mutation sentence,I did n't understand what she 'd said except that perhaps they were visiting .
mutation sentence,I did n't understand what she 'd said except that apparently they were visiting .
mutation sentence,I did n't understand what she 'd said except that now they were visiting .
mutation sentence,I did n't understand what she 'd said except that obviously they were visiting .
mutation sentence,I did n't understand what she 'd said except that clearly they were visiting .
mutation sentence,I did n't understand what she 'd said except that technically they were visiting .
mutation sentence,I did n't understand what she 'd said except that sometimes they were visiting .

original sentence,Also the language is important in writing and in literature .
wrong word,in 6
mutation sentence,Also the language is important especially in writing and in literature .
mutation sentence,Also the language is important also in writing and in literature .
mutation sentence,Also the language is important in scientific writing and in literature .
mutation sentence,Also the language is important in creative writing and in literature .
mutation sentence,Also the language is important in religious writing and in literature .
mutation sentence,Also the language is important in academic writing and in literature .
mutation sentence,Also the language is important in professional writing and in literature .
mutation sentence,Also the language is important in technical writing and in literature .
mutation sentence,Also the language is important in political writing and in literature .
mutation sentence,Also the language is important in historical writing and in literature .
mutation sentence,Also the language is important in writing and also in literature .
mutation sentence,Also the language is important in writing and sometimes in literature .
mutation sentence,Also the language is important in writing and especially in literature .
mutation sentence,Also the language is important in writing and even in literature .

original sentence,New faces emerge as veteran politicians step down in Hong Kong legislative election
wrong word,as 4
mutation sentence,New faces emerge as old veteran politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as two veteran politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as three veteran politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as former veteran politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran Chinese politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran senior politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran politicians step down in 2016 Hong Kong legislative election
mutation sentence,New faces emerge as veteran politicians step down in 2010 Hong Kong legislative election

original sentence,"Paris claims that she was kept at Flag Land Base in Clearwater , Florida until she was eighteen and then transferred to the Freewinds ."
wrong word,until 15
mutation sentence,"Paris claims that she was kept at Flag Land Base in Clearwater , Florida until about she was eighteen and then transferred to the Freewinds ."

original sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for practicing . [ 1 ]"
wrong word,for 23
mutation sentence,"A private dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and even a barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and sometimes a barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a small barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a special barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a padded barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a large barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a double barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a portable barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a wooden barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a circular barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a central barre for practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for daily practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for better practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for further practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for rhythmic practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for free practicing . [ 1 ]"
mutation sentence,"A dancing studio is equipped with mirrors for correcting your positioning and seeing what you 're doing accurately , and a barre for easier practicing . [ 1 ]"

original sentence,Wake it up by clapping .
wrong word,by 4
mutation sentence,Wake it up by loud clapping .

original sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you ."
wrong word,about 16
mutation sentence,"You could also keep adjusting your shirt or your own hair , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair again , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair down , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about exactly what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about just what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what new look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what certain look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what current look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is really best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you tonight ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you best ."

original sentence,"After your initial greeting and exchange of pleasantries , you 'll probably want to ask how the person 's doing ( just like you might in the real world ) ."
wrong word,like 23
mutation sentence,"After your initial greeting and exchange of pleasantries , you 'll probably want to ask how the person 's doing ( just like maybe you might in the real world ) ."

original sentence,This enables you to seal the containers quickly after filling .
wrong word,after 9
mutation sentence,This enables you to seal the containers quickly after initial filling .

original sentence,try for a large body of water if you are confident your companion can save you from drowning .
wrong word,from 17
mutation sentence,try for a large body of water if you are confident your companion can save only you from drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you both from drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you there from drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you directly from drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you easily from drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you completely from drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you from possible drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you from complete drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you from outright drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you from immediate drowning .
mutation sentence,try for a large body of water if you are confident your companion can save you from total drowning .

original sentence,"For example , list “ take the dog for a walk by 12:30 ” rather than simply “ walk the dog . ”"
wrong word,than 16
mutation sentence,"For example , list “ take the dog for a walk by 12:30 ” rather than more simply “ walk the dog . ”"



"pos from 从句连词 to 副词
"
original sentence,"Soon after his arrival , Theodorus was the new de facto leader , though he claimed to be only acting on behalf of Horsiesios ."
wrong word,though 14
mutation sentence,"Soon after his arrival , Theodorus was the new de facto leader , though later he claimed to be only acting on behalf of Horsiesios ."

original sentence,“ This is where we must make our stand .
wrong word,where 4
mutation sentence,“ This is where first we must make our stand .

original sentence,I try to say it every time as if it was the first time I said it .
wrong word,as 8
mutation sentence,I try to say it every time as even if it was the first time I said it .

original sentence,How The Onion writes an issue
wrong word,How 1
mutation sentence,How The Onion first writes an issue

original sentence,You will already have demonstrated a pretty long successful record of writing stuff for us before you will be in that room on a daily basis .
wrong word,before 16
mutation sentence,You will already have demonstrated a pretty long successful record of writing stuff for us before now you will be in that room on a daily basis .

original sentence,How to Annoy People in Elevators
wrong word,How 1
mutation sentence,How Not to Annoy People in Elevators
mutation sentence,How not to Annoy People in Elevators
mutation sentence,How to Not Annoy People in Elevators
mutation sentence,How to not Annoy People in Elevators

original sentence,How to Pack Your Possessions When Moving
wrong word,How 1
mutation sentence,How Not to Pack Your Possessions When Moving
mutation sentence,How Well to Pack Your Possessions When Moving
mutation sentence,How to Not Pack Your Possessions When Moving

original sentence,How to Cope With a Double Parachute Failure
wrong word,How 1
mutation sentence,How Not to Cope With a Double Parachute Failure
mutation sentence,How to Not Cope With a Double Parachute Failure
mutation sentence,How to Really Cope With a Double Parachute Failure

original sentence,this is why hooking your arms through the harness is essential .
wrong word,why 3
mutation sentence,this is why hooking your arms together through the harness is essential .

original sentence,How to Play a Real-Life Game of Quidditch
wrong word,How 1
mutation sentence,How Not to Play a Real-Life Game of Quidditch
mutation sentence,How not to Play a Real-Life Game of Quidditch
mutation sentence,How to Not Play a Real-Life Game of Quidditch



"pos from 从句连词 to 助词
"


"pos from 从句连词 to 并列连词
"


"pos from 从句连词 to 定冠
"


"pos from 从句连词 to 感叹
"


"pos from 从句连词 to 名词
"


"pos from 从句连词 to 数字
"


"pos from 从句连词 to 功能
"


"pos from 从句连词 to 代词
"
original sentence,"Since conflicts of interest are a reason to discount expertise , it is incumbent on me to note that I have published in Frontiers journals on several occasions ."
wrong word,that 19
mutation sentence,"Since conflicts of interest are a reason to discount expertise , it is incumbent on me to note here that I have published in Frontiers journals on several occasions ."

original sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that there are universal words is extremely small ."
wrong word,that 49
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that indeed there are universal words is extremely small ."
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that actually there are universal words is extremely small ."
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that together there are universal words is extremely small ."
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that even there are universal words is extremely small ."
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that truly there are universal words is extremely small ."
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that ultimately there are universal words is extremely small ."
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that collectively there are universal words is extremely small ."
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that simultaneously there are universal words is extremely small ."
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that somewhere there are universal words is extremely small ."
mutation sentence,"It follows from these two basic principles – the ‘ arbitrariness of the sign ’ , and the ‘ selectiveness of particular sound systems ’ – that the words that exist in the world 's languages should sound quite different from each other , and that the likelihood that really there are universal words is extremely small ."

original sentence,Frank Rack got in touch after they returned from Antarctica in hopes that I could help with an identification on the anemone .
wrong word,that 13
mutation sentence,Frank Rack got in touch after they returned from Antarctica in hopes that possibly I could help with an identification on the anemone .
mutation sentence,Frank Rack got in touch after they returned from Antarctica in hopes that I myself could help with an identification on the anemone .

original sentence,The team was n't so far ahead that we knew .
wrong word,that 8
mutation sentence,The team was n't so far out ahead that we knew .
mutation sentence,The team was n't so far yet ahead that we knew .
mutation sentence,The team was n't so far straight ahead that we knew .

original sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
wrong word,that 5
mutation sentence,"Despite the now common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common local perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common popular perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common urban perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common national perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common regional perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common cultural perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that suburban Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that central Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that metropolitan Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that greater Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland now is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is primarily an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is mostly an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is mainly an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is predominantly an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is largely an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is only an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is essentially an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is just an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is merely an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is an industrial town proper , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , only a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."

original sentence,"They compensate for this by creating the impression that they have a lot of friends - they have a ' quantity , not quality ' mentality ."
wrong word,that 9
mutation sentence,"They compensate for this by creating the impression that they also have a lot of friends - they have a ' quantity , not quality ' mentality ."
mutation sentence,"They compensate for this by creating the impression that they have a lot of friends around - they have a ' quantity , not quality ' mentality ."

original sentence,There is a minuscule chance that your impact will result in non-life-threatening injuries ;
wrong word,that 6
mutation sentence,There is a minuscule theoretical chance that your impact will result in non-life-threatening injuries ;



"pos from 从句连词 to 特指名词
"


"pos from 从句连词 to 标点
"


"pos from 从句连词 to 从句连词
"


"pos from 从句连词 to 符号
"


"pos from 从句连词 to 动词
"


"pos from 从句连词 to 其他
"


"pos from 符号 to 形容
"


"pos from 符号 to 介词
"


"pos from 符号 to 副词
"


"pos from 符号 to 助词
"


"pos from 符号 to 并列连词
"


"pos from 符号 to 定冠
"


"pos from 符号 to 感叹
"


"pos from 符号 to 名词
"


"pos from 符号 to 数字
"


"pos from 符号 to 功能
"


"pos from 符号 to 代词
"


"pos from 符号 to 特指名词
"


"pos from 符号 to 标点
"


"pos from 符号 to 从句连词
"


"pos from 符号 to 符号
"


"pos from 符号 to 动词
"


"pos from 符号 to 其他
"


"pos from 动词 to 形容
"
original sentence,"There are also many nail salons , frozen yogurt shops , coffee shops and gas stations ."
wrong word,frozen 8
mutation sentence,"There are also many nail salons too , frozen yogurt shops , coffee shops and gas stations ."
mutation sentence,"There are also many nail salons , many frozen yogurt shops , coffee shops and gas stations ."
mutation sentence,"There are also many nail salons , several frozen yogurt shops , coffee shops and gas stations ."
mutation sentence,"There are also many nail salons , small frozen yogurt shops , coffee shops and gas stations ."
mutation sentence,"There are also many nail salons , large frozen yogurt shops , coffee shops and gas stations ."
mutation sentence,"There are also many nail salons , various frozen yogurt shops , coffee shops and gas stations ."
mutation sentence,"There are also many nail salons , two frozen yogurt shops , coffee shops and gas stations ."
mutation sentence,"There are also many nail salons , numerous frozen yogurt shops , coffee shops and gas stations ."
mutation sentence,"There are also many nail salons , three frozen yogurt shops , coffee shops and gas stations ."

